10656
ATR-X syndrome	C538258
Testicular Diseases	D013733
autoimmune diseases	D001327
intravascular coagulation	D004211
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 27	614340
liver, blood, skin, and renal disorders	D012871
Celiac Disease	D002446
Puerperal Disorders	D011644
rheumatologic disorders	D012216
CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iy	300934
PEROXISOME BIOGENESIS DISORDER 7B	614873
Pierson syndrome	C537185
THROMBOCYTOPENIA 2	188000
Kidney cancer	D007680
marrow toxicity	D001855
Chromoblastomycosis	D002862
Thrombocytopenia	D013921
Hyperventilation	D006985
audiovisual toxicity	D014786
Hyperglycemia	D006943
epicardial coronary disease	D003327
AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE	614373
Esophageal and Gastric Varices	D004932
Trichorhinophalangeal Syndrome, Type III	C566033
Esophageal Stenosis	D004940
Nicolaides Baraitser syndrome	C536116
flushing of the face	D005483
Limb-Girdle Muscular Dystrophy, Type 1G	C563794
COVID-19	D000086382
Lysosomal Storage Diseases	D016464
abortions	D000031
Oligodendroglioma	D009837
Esophageal atresia with or without tracheoesophageal fistula	C531835
MITOCHONDRIAL DNA DEPLETION SYNDROME 12B (CARDIOMYOPATHIC TYPE), AUTOSOMAL RECESSIVE	615418
Posterior column ataxia with retinitis pigmentosa	C536343
Gamma-cystathionase deficiency	C535408
Polydipsia	D059606
Acidosis	D000138
Encephalitis, Herpes Simplex	D020803
T-cell immunodeficiency, congenital alopecia and nail dystrophy	C536781
Eating disorders	D001068
Epileptic seizures	D004827
Deafness, Autosomal Recessive 79	C567651
Alopecia, Neurologic Defects, and Endocrinopathy Syndrome	C567425
overdosages	D062787
Alcohol Withdrawal Delirium	D000430
Tremor hereditary essential, 1	C536545
Hyperinsulinemic Hypoglycemia, Familial, 5	C566494
Tay-Sachs Disease	D013661
Hemophagocytic Lymphohistiocytosis, Familial, 5	C567752
MAST Syndrome	C565409
Hyperthyroxinemia, Familial Dysalbuminemic	D050010
Combined Saposin Deficiency	C567125
infantile spasms	D013036
EHLERS-DANLOS SYNDROME, KYPHOSCOLIOTIC TYPE, 2	614557
Zika Virus Infection	D000071243
RETINITIS PIGMENTOSA 49	613756
Folic Acid Deficiency	D005494
obstructive lung disease	D008173
Infarction, Posterior Cerebral Artery	D020762
chronic airflow obstruction	D029424
Specific Granule Deficiency	C562873
tonic-clonic convulsions	D004830
Pierre Robin Syndrome	D010855
Hydrocephalus, X-linked	C536078
Brachydactyly-Syndactyly Syndrome	C565193
Polyostotic osteolytic dysplasia, hereditary expansile	C536335
Argininosuccinic Aciduria	D056807
Sexual dysfunction	D012735
Neuroferritinopathy	C548080
CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 6	613854
Nasopharyngeal Neoplasms	D009303
Duodenitis	D004382
Muscular Dystrophy, Congenital, Lmna-Related	C567708
SPINAL MUSCULAR ATROPHY, JOKELA TYPE	615048
CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 2	605479
Cone-Rod Dystrophy 7	C566350
Arts syndrome	C535388
nerve entrapment	D009408
MYH9-Related Disorders	C535507
Lethal Arthrogryposis With Anterior Horn Cell Disease	C567502
hyperammonemic encephalopathy	D022124
LV dysfunction	D018487
Lymphangioleiomyomatosis	D018192
Cellulitis	D002481
Familial Mediterranean Fever	D010505
Lactase Deficiency, Congenital	C562600
Secondary hyperalgesia	D006930
Basal Cell Nevus Syndrome	D001478
Germinoma	D018237
RETINAL DYSTROPHY, IRIS COLOBOMA, AND COMEDOGENIC ACNE SYNDROME	615147
IMMUNODEFICIENCY 18	615615
Chromosome 1q21.1 Deletion Syndrome, 1.35-Mb	C567291
Visual toxicity	D014786
Cushing's syndrome	D003480
B-cell non-Hodgkin's lymphoma	D008228
ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN EDEMA AND/OR LEUKOENCEPHALOPATHY, 1	617186
injury in the cortex	D001480
IMMUNODEFICIENCY 47	300972
Glycogen Storage Disease of Heart, Lethal Congenital	C564888
Neoplasms, Second Primary	D016609
asthmatic	D001249
von Willebrand Disease, Type 3	D056729
Diabetes Mellitus, Permanent Neonatal	C563425
Fascioliasis	D005211
sleep disturbance	D020920
COENZYME Q10 DEFICIENCY, PRIMARY, 6	614650
Dosage-sensitive sex reversal	C535601
Arnold-Chiari Malformation	D001139
Hip Fractures	D006620
pleural and pericardial effusions	D010996
peripheral neurotoxicity	D010523
hand-foot syndrome	D060831
Central nervous system and cardiac toxicity	D020258
Macrocephaly Autism Syndrome	C565342
Sandhoff Disease	D012497
Flavivirus Infections	D018177
depressed mood	D003866
Granuloma Annulare	D016460
secondary infection	D060085
Mastocytosis	D008415
multi-organ failure	D009102
Protein C Deficiency	D020151
Scapuloperoneal Myopathy, X-Linked Dominant	C567481
Flank Pain	D021501
liver or kidney disease	D008107
COWDEN SYNDROME 4	615107
impairs associative learning	D007859
metabolic abnormalities	D008659
Myeloproliferative Disorders	D009196
Neurodegeneration Due To Cerebral Folate Transport Deficiency	C567791
cord damage	D013118
pulmonary hypertension syndrome	D006976
Spastic Paraplegia, Hereditary	D015419
Essential Hypertension	D000075222
forestomach tumorigenesis	D013274
Hypoalphalipoproteinemias	D052456
Parkinson disability	D009069
Herpesviridae Infections	D006566
MITOCHONDRIAL DNA DEPLETION SYNDROME 13 (ENCEPHALOMYOPATHIC TYPE)	615471
CHF	D006333
cardiovascular and gastrointestinal systems	D002318
talipes equinovarus	D003025
Steatocystoma Multiplex	D062685
Trichothiodystrophy Syndromes	D054463
Metaphyseal chondrodysplasia Schmid type	C537352
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 50	616460
Depression, Postpartum	D019052
irritability	D001523
Keratoconjunctivitis Sicca	D007638
posttransplant lymphoproliferative disorder	D008232
Machado-Joseph Disease	D017827
throat pain	D010612
Esophageal Spasm, Diffuse	D015155
Pyruvate Metabolism, Inborn Errors	D015323
Caliciviridae Infections	D017250
Mitral Valve Prolapse, Myxomatous 3	C563655
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 46	616116
Lupus Vasculitis, Central Nervous System	D020945
OPTIC ATROPHY 10 WITH OR WITHOUT ATAXIA, MENTAL RETARDATION, AND SEIZURES	616732
neurotoxic lesions	D020258
ventricular tachycardia	D017180
HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 6	610762
bone tumors	D001859
CAPILLARY MALFORMATIONS, CONGENITAL	163000
Hemoglobinuria	D006456
haemolytic-uraemic syndrome	D006463
Oto-palato-digital syndrome, type 2	C538089
Basan syndrome	C537659
eating disorders	D001068
CONE-ROD DYSTROPHY AND HEARING LOSS 1	617236
Immune Complex Diseases	D007105
L1210 leukemia	D007939
MYOTONIA CONGENITA, AUTOSOMAL DOMINANT	160800
Urinary Bladder Fistula	D001747
Alkalosis	D000471
Spastic paraplegia 17	C536644
Schizophrenia, Childhood	D012561
Hecht syndrome	C535857
Familial benign hypercalcemia, type 3	C537147
Leydig Cell Hypoplasia	C562567
RETINITIS PIGMENTOSA 78	617433
inflammatory diseases	D007249
Albuminuria	D000419
LETHAL CONGENITAL CONTRACTURE SYNDROME 6	616248
Ectodermal Dysplasia 3, Anhidrotic	D053359
ion channel disorders	-1
eosinophilic	D004802
CARDIOMYOPATHY, DILATED, 2B	614672
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 56	617125
ANEMIA, X-LINKED, WITH OR WITHOUT NEUTROPENIA AND/OR PLATELET ABNORMALITIES	300835
Congenital myasthenic syndrome with episodic apnea	C535759
Retinitis Pigmentosa	D012174
Epilepsy, Absence	D004832
ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3	606771
aneurysmal rupture	D017542
Radioulnar Synostosis with Amegakaryocytic Thrombocytopenia	C565328
Ectodermal Dysplasia	D004476
Hereditary pancreatitis	C537262
Meningitis, Aseptic	D008582
bone marrow depression	D001855
Ellis-Van Creveld Syndrome	D004613
SPASTIC PARAPLEGIA 35, AUTOSOMAL RECESSIVE	612319
Ileus	D045823
hyperthyroidism	D006980
Purpura Fulminans	D055665
Central nervous system toxicity	D020258
Spondyloepimetaphyseal Dysplasia, Pakistani Type	C567551
Trichotillomania	D014256
inferior infarction	D056989
Spinal Cord Neoplasms	D013120
Molybdenum cofactor deficiency	C535811
Failure to Thrive	D005183
Beta-Ureidopropionase Deficiency	C563210
Peripheral neuropathy	D010523
Anhedonia	D059445
Aland Island Eye Disease	C562664
Endometrial carcinoma	D016889
MD	D009436
bipolar	D001714
Body Temperature Changes	D001832
Hypophosphatemic Rickets, Autosomal Recessive, 1	C562792
gastroesophageal reflux disorder	D005764
Splenomegaly	D013163
fungal infections	D009181
Kowarski syndrome	C537505
Athletic Injuries	D001265
injury to different regions of the kidney	D007674
LETHAL CONGENITAL CONTRACTURE SYNDROME 8	616287
BENT BONE DYSPLASIA SYNDROME	614592
dry month	D014987
renal and kidney disease	D007674
Barber Say syndrome	C537908
Congenital disorder of glycosylation type 1A	C535739
kidney stones	D007669
psychomotor agitation	D011595
supraventricular tachyarrhythmias	D013617
NOONAN SYNDROME 9	616559
Charcot-Marie-Tooth disease, Type 2F	C535413
Apolipoprotein C-III Deficiency	C566270
Mitral Valve Insufficiency	D008944
idiopathic generalized epilepsies	C562694
variant angina	D000788
Cholestasis	D002779
bradydysrhythmias	D001919
Mental Retardation, Autosomal Dominant 3	C567241
Donnai-Barrow syndrome	C536390
Diarrhoea	D003967
Thoracic Diseases	D013896
Diverticulitis	D004238
NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IIA	201300
Bartter syndrome, type 3	C537653
CORTICAL MALFORMATIONS, OCCIPITAL	614115
Myopathy, Distal 2	C565262
Dysphonia	D055154
hypomagnesemia	C537153
leucopenia	D007970
CNS damage	D009422
Methylmalonyl-CoA Epimerase Deficiency	C565386
myalgia	D063806
retinal vein occlusion	D012170
Zinc Deficiency, Neonatal, due to Low Breast Milk Zinc	C564286
Microcephalic Osteodysplastic Primordial Dwarfism, Type II	C565898
Salmonella Infections	D012480
renal artery stenosis	D012078
bone marrow oedema	D004487
Dimethylglycine Dehydrogenase Deficiency	C565278
Tdp	D016171
Hereditary Breast and Ovarian Cancer Syndrome	D061325
Hypoproteinemia	D007019
AMYOTROPHIC LATERAL SCLEROSIS 18	614808
BARDET-BIEDL SYNDROME 18	615995
Polycystic Kidney Disease, Potter Type I, with Microbrachycephaly, Hypertelorism, and Brachymelia	C564881
HYPOTONIA, INFANTILE, WITH PSYCHOMOTOR RETARDATION AND CHARACTERISTIC FACIES 1	615419
Mania	D001714
Char syndrome	C566815
violent behavior	D001523
Maxillary Sinus Neoplasms	D008444
SPERMATOGENIC FAILURE 6	102530
Arrhythmia, Sinus	D001146
S-A block	D012848
Death, Sudden	D003645
WPW syndrome	D014927
eczema	D004485
THROMBOCYTOPENIA 5	616216
Liver Cirrhosis	D008103
MI	D009203
Chromosome 2q32-Q33 Deletion Syndrome	C567350
myoglobinuria	D009212
Crohn's disease	D003424
impaired renal and liver function	D017093
Histiocytic Disorders, Malignant	D015620
ischaemic injury	D007511
Deafness enamel hypoplasia nail defects	C535994
Meningitis, Pneumococcal	D008586
diabetes complications	D048909
Deafness, Autosomal Dominant 36	C564675
paresthesia	D010292
Cafe-au-Lait Spots	D019080
ventricular tachyarrhythmias	D017180
Dyslipidemias	D050171
hypertrophic	D006984
Joubert syndrome 5	C537688
Binge Drinking	D063425
Sleep-Wake Transition Disorders	D020922
Superinfection	D015163
Hematoma, Epidural, Spinal	D046748
exanthema	D005076
Peritoneal Neoplasms	D010534
Nephronophthisis 3	C565780
Plantar Lipomatosis, Unusual Facies, and Developmental Delay	C566559
cystitis	D003556
Rhabdomyosarcoma	D012208
CK SYNDROME	300831
Acute Disease	D000208
Adrenal Hyperplasia, Congenital	D000312
Corneal Dystrophy, Fuchs Endothelial, 4	C567677
Tooth Agenesis, Selective, 3	C567036
Anorectal Malformations	D000071056
Aortitis	D001025
Cranioectodermal Dysplasia	C562966
Hyperaldosteronism, Familial, Type II	C565312
Gangliosidosis, GM1	D016537
neuronal death	D009410
OVARIAN DYSGENESIS 3	614324
Endocrine Gland Neoplasms	D004701
Candidiasis, Chronic Mucocutaneous	D002178
Cachexia	D002100
Erectile Dysfunction	D007172
Lipidoses	D008064
Tuberculosis	D014376
Night Terrors	D020184
Gallbladder Neoplasms	D005706
Lecithin Cholesterol Acyltransferase Deficiency	D007863
Renal Aminoacidurias	D000608
Auditory toxicity	D006311
acute promyelocytic leukemia	D015473
Leukemia, Erythroblastic, Acute	D004915
Chromosome Breakage	D019457
dermatomyositis	D003882
Hypercholesterolemia, Autosomal Recessive	C566331
Familial schizencephaly	C538514
Chiari malformation	D001139
Dentinogenesis Imperfecta	D003811
Mood Disorders	D019964
SPASTIC PARAPLEGIA 52, AUTOSOMAL RECESSIVE	614067
Hyperhomocysteinemia	D020138
Trypanosomiasis	D014352
Adenoma, Islet Cell	D007516
Ceroid lipofuscinosis, neuronal 8	C537952
Pancreatic Carcinoma	C562463
WATSON SYNDROME	193520
immunodeficiencies	D007153
MITOCHONDRIAL DNA DEPLETION SYNDROME 8A (ENCEPHALOMYOPATHIC TYPE WITH RENAL TUBULOPATHY)	612075
hypoxaemia	D000860
Bile duct hamartoma	D001650
Upper Extremity Deep Vein Thrombosis	D056824
CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 4	615779
Leukodystrophy, Metachromatic	D007966
Tetralogy of Fallot	D013771
SPINAL MUSCULAR ATROPHY WITH PROGRESSIVE MYOCLONIC EPILEPSY	159950
hydrocephalus	D006849
visual field defects	D005128
hepatoma	D006528
Congenital disorder of glycosylation type 2E	C535754
Congenital chloride diarrhea	C536210
Nemaline myopathy 5	C538397
coronary artery stenosis	D023921
Periapical Diseases	D010483
abnormal audiograms with deficits mostly in the high frequency range of 4,000 to 8,000 Hz	D006316
HBV infected	D006509
hypoactivity	D009069
Diabetic nephropathy	D003928
disruptive behaviors	D019958
OSTEOGENESIS IMPERFECTA, TYPE XI	610968
Sprue, Tropical	D013182
Taussig-Bing malformation	D004310
arthralgias	D018771
motor neuropathy	D010523
Nephrolithiasis	D053040
Carcinoma in Situ	D002278
Pyle disease	C536252
Aortic Aneurysm	D001014
ACROMESOMELIC DYSPLASIA, HUNTER-THOMPSON TYPE	201250
Thrombocytopenia 4	C567438
Spastic paraplegia 26, autosomal recessive	C536862
Palpebral twitching	D004409
MITOCHONDRIAL DNA DEPLETION SYNDROME 14 (CARDIOENCEPHALOMYOPATHIC TYPE)	616896
valve regurgitation	D006349
Chromosome Deletion	D002872
Euthyroid Sick Syndromes	D005067
cranial nerve deficits	D003389
priapism	D011317
toxic neuropathy	D010523
Osteogenesis Imperfecta	D010013
Dystransthyretinemic Euthyroidal Hyperthyroxinemia	C567719
Hidradenitis suppurativa, familial	C538118
Laryngomalacia	D055092
Hereditary Myopathy with Early Respiratory Failure	C566343
Brain Edema	D001929
Small Cell Lung Carcinoma	D055752
visual defects	D014786
myxedemic coma	D003128
Tonsillitis	D014069
Kenny-Caffey syndrome, type 2	C537020
Isolated Growth Hormone Deficiency, Type IB	C567564
Lipomyelomeningocele	C537030
carcinoma of the bladder	D001749
Thalassemia	D013789
megaloblastosis	-1
DIAMOND-BLACKFAN ANEMIA 15 WITH MANDIBULOFACIAL DYSOSTOSIS	606164
ASPLENIA, ISOLATED CONGENITAL	271400
Acute kidney injury	D058186
acute lymphoblastic leukemia	D054198
Hypertrophy, Left Ventricular	D017379
Hypereosinophilic Syndrome	D017681
MACULAR DEGENERATION, AGE-RELATED, 12	613784
WAARDENBURG SYNDROME, TYPE 4A	277580
Cortisone reductase deficiency	C536447
Autoimmune Diseases of the Nervous System	D020274
Hepatic Fibrosis, Congenital	C562378
Ovarian Cysts	D010048
Neutropenia	D009503
Molybdenum Cofactor Deficiency, Complementation Group B	C565373
Pleural Diseases	D010995
ECTOPIA LENTIS 1, ISOLATED, AUTOSOMAL DOMINANT	129600
Trismus	D014313
amblyopia	D000550
Burn-Mckeown syndrome	C537411
endometrial disease	D014591
Cardiomyopathy, Dilated	D002311
HYPERMANGANESEMIA WITH DYSTONIA 1	613280
Night Blindness, Congenital Stationary, Autosomal Dominant 3	C566475
Agoraphobia	D000379
glioblastoma	D005909
MYOPATHY, AUTOSOMAL RECESSIVE, WITH RIGID SPINE AND DISTAL JOINT CONTRACTURES	617072
meningeal disease	D002493
RETINITIS PIGMENTOSA 60	613983
OSTEOGENESIS IMPERFECTA, TYPE XV	615220
Vaginal Discharge	D019522
ovarian or fallopian tube cancers	D010051
